episode,reward,victims_rescued,coverage_ratio
560,-64.56671570853999,1,0.12
561,-69.65514629619292,2,0.08888889
562,-35.35590308982183,4,0.13777778
563,-57.57063008516244,2,0.10666667
564,-70.35565061455668,2,0.08444444
565,-55.19550252568826,3,0.093333334
566,-56.768672397716486,2,0.10222222
567,-53.854222021343226,3,0.13333334
568,-61.837930617407295,2,0.08
569,-61.81363738432656,2,0.07111111
570,-41.15660942159749,4,0.12
571,-44.33676922153087,3,0.12444445
572,-59.03049761051858,3,0.10222222
573,-49.223248010292515,4,0.10666667
574,-34.946041718641325,4,0.08
575,-50.20084285124565,3,0.11111111
576,-105.2144825304209,1,0.044444446
577,-74.92409432994218,1,0.115555555
578,-40.81066651996658,3,0.12444445
579,-38.25950999430624,4,0.10666667
580,-60.1057711089727,3,0.08888889
581,-38.22300444195286,4,0.12
582,-39.186291757715324,3,0.14666666
583,-80.30579155047091,1,0.09777778
584,-46.024845817472446,3,0.08888889
585,-68.47700229867029,3,0.08444444
586,-67.3710577744461,2,0.057777777
587,-57.73037847434454,4,0.08888889
588,-54.221567139483675,2,0.115555555
589,-91.01765886864102,2,0.06666667
590,-59.20803193477294,3,0.08
591,-71.23676010631917,2,0.06666667
592,-69.42915799263734,1,0.093333334
593,-43.50236705732282,3,0.12888889
594,-34.43884539926743,4,0.08444444
595,-29.828068793567102,5,0.15111111
596,-46.75754889124666,3,0.115555555
597,-42.67227345205593,3,0.08
598,-73.3618075875484,1,0.08888889
599,-34.71465655399702,4,0.10666667
600,-44.123886656789075,3,0.13777778
601,-57.61469898663042,2,0.14666666
602,-50.17997603290162,4,0.10222222
603,-58.83660408631995,3,0.07111111
604,-38.735054639082705,4,0.10666667
605,-51.113866343047775,3,0.12888889
606,-48.669060149653546,3,0.08444444
607,-95.9832962459847,2,0.04
608,-38.83738233268229,4,0.14222223
609,-48.145884920880754,3,0.12888889
610,-42.47024239689259,4,0.115555555
611,-64.67973725398028,2,0.115555555
612,-64.91120968584089,2,0.057777777
613,-58.98506929143796,2,0.07111111
614,-101.99927415378998,1,0.035555556
615,-60.70989445524221,2,0.10222222
616,-54.79419874140263,3,0.08
617,-62.285748835679684,2,0.09777778
618,-48.06034929316821,2,0.13333334
619,-58.01593890617542,3,0.12
620,-6.559172553535678,6,0.16444445
621,-93.35759581466486,1,0.026666667
622,-28.060871821117992,4,0.16888888
623,-59.401887346700285,2,0.12444445
624,-55.07177799297445,3,0.093333334
625,-39.42162269889996,3,0.14222223
626,-67.47553745742769,2,0.12888889
627,-78.56259071643007,2,0.053333335
628,-68.9213697360989,1,0.115555555
629,-71.03370361300288,2,0.10666667
630,-77.63882283033536,1,0.09777778
631,-64.83249526096148,2,0.12444445
632,-84.9062774655821,2,0.062222224
633,-54.63982938265445,3,0.08888889
634,-40.2840899454557,3,0.12888889
635,-54.81978956860115,3,0.11111111
636,-38.764258905082734,4,0.11111111
637,-52.145297487895114,2,0.16
638,-43.8647722603499,3,0.08
639,-28.683924277386183,4,0.12888889
640,-7.990685540733236,6,0.13777778
641,-49.07746861557738,3,0.10666667
642,-33.661561517841704,4,0.115555555
643,-56.14162800620587,2,0.11111111
644,-48.181199708909055,3,0.12444445
645,-50.12131735912782,3,0.10222222
646,-69.52501037277901,2,0.06666667
647,-56.950514828839786,3,0.09777778
648,-56.43498482071139,3,0.115555555
649,-42.65939377978088,3,0.11111111
650,-55.27643680886469,2,0.15555556
651,-38.55874792410004,4,0.12
652,-54.84774538791467,2,0.13777778
653,-61.532914102968775,2,0.075555556
654,-70.09771669142833,2,0.08444444
655,-21.480981001825405,5,0.14222223
656,-66.69064211949637,2,0.09777778
657,-60.79771495045662,2,0.13777778
658,-57.20898724662787,3,0.093333334
659,-72.21211117487235,1,0.10222222
660,-52.659262270912116,3,0.08444444
661,-35.217895997801335,4,0.15111111
662,-54.1581509136192,2,0.12444445
663,-72.39940843194464,1,0.07111111
664,-80.38867359764414,2,0.075555556
665,-56.15083291325321,3,0.093333334
666,-32.20798146789305,4,0.10666667
667,-44.373204500331795,3,0.15111111
668,-61.96427700647038,2,0.10666667
669,-74.14379971294252,1,0.093333334
670,-58.28872094883836,3,0.09777778
671,-31.30953683169687,4,0.11111111
672,-49.032529645173874,3,0.115555555
673,-24.283799713462514,5,0.13333334
674,-68.29966138978354,2,0.12
675,-79.78360741463656,1,0.10222222
676,-41.6399525700228,4,0.12888889
677,-11.132597093054102,6,0.16
678,-74.03972165902091,2,0.07111111
679,-54.94485616475537,2,0.11111111
680,-78.7873617731534,2,0.08888889
681,-50.61722295339743,3,0.15111111
682,-11.180300982828442,6,0.17333333
683,-82.05285895173168,1,0.07111111
684,-28.921744504056864,4,0.14666666
685,-49.417000086373235,3,0.08444444
686,-60.23547857019879,2,0.12444445
687,-45.07872476280139,3,0.11111111
688,-79.90335472991083,1,0.08444444
689,-34.061192320881894,4,0.115555555
690,-63.614003924716435,1,0.115555555
691,-61.830689455813385,2,0.09777778
692,-58.61300701047842,2,0.10666667
693,-61.77601963386414,1,0.09777778
694,-67.75514929858204,2,0.08888889
695,-77.43558356951527,1,0.08888889
696,-29.121307006454554,4,0.15111111
697,-32.93594983882351,4,0.13333334
698,-58.098658939988205,3,0.09777778
699,-60.4686850479585,2,0.10222222
700,-62.53281129954626,1,0.09777778
701,-63.653881056631796,1,0.093333334
702,-76.080775220207,1,0.10666667
703,-70.24106770755817,1,0.12888889
704,-42.583273112241045,3,0.12444445
705,-52.92366556281352,3,0.09777778
706,-49.12707093320938,3,0.12
707,-65.57403079216995,2,0.08888889
708,-53.22857201904331,2,0.12888889
709,-49.72232706174657,3,0.12888889
710,-26.568175573064934,5,0.15555556
711,-37.465431973528695,4,0.15555556
712,-77.93598135196616,1,0.10222222
713,-42.55254925182744,3,0.13777778
714,-52.33377513787802,2,0.13333334
715,-48.5252210408582,3,0.13777778
716,-89.86976822624192,0,0.053333335
717,-51.41369811750059,2,0.10222222
718,-63.86883490157943,1,0.14222223
719,-60.80322413649064,2,0.13333334
720,-67.14897978315388,2,0.08
721,-75.51076236706457,1,0.14666666
722,-64.8111184310567,1,0.115555555
723,-65.10255174695118,1,0.115555555
724,-46.30200215822835,4,0.13333334
725,-55.493115449245366,2,0.08444444
726,-77.7474288866829,2,0.10666667
727,-22.48495600033283,5,0.115555555
728,-64.51781074367557,2,0.11111111
729,-65.68588428890625,2,0.115555555
730,-70.60602578592949,1,0.13333334
731,-57.635400392545584,2,0.08444444
732,-62.342751972432914,2,0.10666667
733,-29.779453895765318,4,0.12
734,-58.849307005391445,2,0.093333334
735,-50.61808916251135,3,0.12
736,-78.46332086282005,1,0.057777777
737,-53.56347578588296,3,0.093333334
738,-53.8955553375958,2,0.12444445
739,-49.69196249151036,4,0.08
740,-52.84018045650132,3,0.10666667
